coefname	estimate	se	z	p	subtype	txc	log_normed	normed	l95	u95	color	celltype	x	y	n_cells	total_cells	model
subtype_fctBergmann glia:txcaso7	-0.4873013746122853	0.1541518954257856	-3.1611766645249593	0.0015713316397964947	Bergmann glia	aso7	-0.4873013746122853	0.6142818760830051	0.45410195403411363	0.8309636634061022	#FF6600	glia	6	7	1835	3247	13-aso7
subtype_fctendothelial stalk:txcaso7	-0.8070786465858253	0.19061273881359275	-4.234127538428044	2.2944071101230886e-5	endothelial stalk	aso7	-0.8070786465858253	0.44615955398076934	0.30707208645612005	0.6482463121465262	#FF6600	other	11	2	618	968	13-aso7
subtype_fctGolgi:txcaso7	-0.6212083765881748	0.19003331698877618	-3.268944553679842	0.001079494528980808	Golgi	aso7	-0.6212083765881748	0.5372947907186337	0.3702166760693392	0.7797749555703739	#FF6600	neuron	4	9	206	333	13-aso7
subtype_fctgranule:txcaso7	-0.5578300186353896	0.1387135821224403	-4.021452046008024	5.784048412451605e-5	granule	aso7	-0.5578300186353896	0.5724499227060466	0.43617853139799734	0.7512953765877696	#FF6600	neuron	1	12	23334	44398	13-aso7
subtype_fctmicroglia:txcaso7	-0.9099932754600054	0.2084248720565578	-4.36604934181306	1.2651391252202028e-5	microglia	aso7	-0.9099932754600054	0.40252693083298025	0.26753670203908786	0.6056287933987695	#FF6600	glia	10	3	342	538	13-aso7
subtype_fctMLI:txcaso7	-1.127814019574943	0.14079297042066624	-8.01044268194087	1.14296276424601e-15	MLI	aso7	-1.127814019574943	0.32374017316901893	0.24567072132652032	0.42661860215815756	#FF6600	neuron	3	10	3608	5656	13-aso7
subtype_fctoligodendrocyte:txcaso7	-0.7237661656760408	0.15271449137604126	-4.7393417556808854	2.144136073887236e-6	oligodendrocyte	aso7	-0.7237661656760408	0.48492251403920383	0.3594856321975711	0.6541286314688228	#FF6600	glia	8	5	831	1683	13-aso7
subtype_fctOPC:txcaso7	-0.7723992726739914	0.19330434004062327	-3.995767878319081	6.448489422958203e-5	OPC	aso7	-0.7723992726739914	0.4619035053130862	0.3162352699656425	0.6746712605576736	#FF6600	glia	9	4	435	816	13-aso7
subtype_fctpericyte/fibroblast:txcaso7	-0.36036626081052264	0.22809081449780924	-1.5799244770287928	0.11412416299290228	pericyte/fibroblast	aso7	-0.36036626081052264	0.6974208413642358	0.446009046992778	1.0905514882460994	#FF6600	other	12	1	516	680	13-aso7
subtype_fctPurkinje:txcaso7	-1.6061659931771715	0.1886429052666111	-8.514319639570644	1.67571211619582e-17	Purkinje	aso7	-1.6061659931771715	0.2006554555654834	0.13863658119861658	0.2904183838067225	#FF6600	neuron	2	11	160	249	13-aso7
subtype_fctUBC:txcaso7	-0.46398770248900245	0.2652983537539351	-1.7489279368817803	0.08030347679395904	UBC	aso7	-0.46398770248900245	0.6287712867413681	0.37382671380753735	1.057584480797542	#FF6600	neuron	5	8	52	138	13-aso7
