coefname	estimate	se	z	p	subtype	txc	log_normed	normed	l95	u95	color	celltype	x	y	n_cells	total_cells	model
subtype_fctendothelial stalk:txcaso1	-0.6161789598886759	0.21041331134903496	-2.928421951720318	0.003406873539215572	endothelial stalk	aso1	-0.6161789598886759	0.5400038769628935	0.3575137442971702	0.8156446899914723	#0909FF	other	7	3	380	693	2-aso1
subtype_fctexcitatory:txcaso1	-0.7159967071336695	0.17884102509963692	-4.003537257375758	6.240236827131996e-5	excitatory	aso1	-0.7159967071336695	0.48870477343592394	0.34420472242800476	0.6938671668835483	#0909FF	neuron	1	9	19359	41345	2-aso1
subtype_fctfibroblast:txcaso1	-0.5677505795340723	0.2505086379838142	-2.266391227478374	0.023427440233348185	fibroblast	aso1	-0.5677505795340723	0.5667989750176833	0.346893144355165	0.9261096199473309	#0909FF	other	9	1	438	564	2-aso1
subtype_fctinhibitory:txcaso1	-0.7533393759377031	0.1814848733480685	-4.150976122912894	3.310603060154046e-5	inhibitory	aso1	-0.7533393759377031	0.47079177409339656	0.3298744368114639	0.6719068524872889	#0909FF	neuron	2	8	2716	5500	2-aso1
subtype_fctmicroglia:txcaso1	-0.9315068260636119	0.2203884688127868	-4.2266586409060185	2.3718706938827866e-5	microglia	aso1	-0.9315068260636119	0.3939596342544124	0.2557741916685188	0.6068016182923323	#0909FF	glia	6	4	523	849	2-aso1
subtype_fctoligodendrocyte:txcaso1	-1.8346214520816913	0.20976529537088073	-8.746067593487966	2.209168055230948e-18	oligodendrocyte	aso1	-1.8346214520816913	0.1596739345645793	0.10584771421364407	0.2408721394575669	#0909FF	glia	4	6	651	1439	2-aso1
subtype_fctOPC:txcaso1	-1.1366181697500624	0.22176455978940324	-5.12533729839178	2.9700555111244404e-7	OPC	aso1	-1.1366181697500624	0.320902426371382	0.20778139864566575	0.4956091734980162	#0909FF	glia	5	5	335	579	2-aso1
subtype_fctpericyte:txcaso1	-1.006939771385871	0.369149989881201	-2.7277253121689697	0.006377268863609754	pericyte	aso1	-1.006939771385871	0.36533528011086386	0.17720279701151814	0.7532040641830718	#0909FF	other	8	2	172	308	2-aso1
(Intercept)	-7.369745175288921	0.07961135723415164	-92.57153038621294	0	astrocyte	_ctl	0	1	0.8555289101523913	1.1688675720167947	#A9A9A9	glia	3	7	2055	3787	12-aso1
subtype_fctendothelial stalk	-1.1415446970903176	0.1295161096705416	-8.81392052304642	1.2084374093597374e-18	endothelial stalk	_ctl	0	1	0.7758105615060817	1.2889744605418867	#A9A9A9	other	7	3	326	705	12-aso1
subtype_fctexcitatory	-1.3086883172020158	0.11183676337006539	-11.701772098604062	1.2481930617162662e-31	excitatory	_ctl	0	1	0.8031642597540626	1.2450753228314848	#A9A9A9	neuron	1	9	20735	38569	12-aso1
subtype_fctfibroblast	-1.4127302903809846	0.14155642841929816	-9.9799797590004	1.865048241206047e-23	fibroblast	_ctl	0	1	0.7577168579236128	1.3197541925361418	#A9A9A9	other	9	1	232	480	12-aso1
subtype_fctinhibitory	-1.655292124030525	0.11309327958287743	-14.636520668033928	1.642615826332998e-48	inhibitory	_ctl	0	1	0.8011887194354032	1.2481453816582677	#A9A9A9	neuron	2	8	2742	5230	12-aso1
subtype_fctmicroglia	-1.7612501902072744	0.1343912852218434	-13.105389886702326	3.066821500750388e-39	microglia	_ctl	0	1	0.7684328645690357	1.3013498590548118	#A9A9A9	glia	6	4	673	1189	12-aso1
subtype_fctoligodendrocyte	-0.5639027605245576	0.11709561921109521	-4.8157460059028905	1.466509664118518e-6	oligodendrocyte	_ctl	0	1	0.794928427723629	1.2579748882092663	#A9A9A9	glia	4	6	1467	2397	12-aso1
subtype_fctOPC	-1.1517216291483738	0.12449479627624004	-9.251162808386242	2.2206352493336932e-20	OPC	_ctl	0	1	0.7834834684983274	1.276351116784457	#A9A9A9	glia	5	5	438	755	12-aso1
subtype_fctpericyte	-1.627162334232734	0.1772123966268268	-9.181989325832584	4.23199793776301e-20	pericyte	_ctl	0	1	0.7065721810375317	1.4152835716396286	#A9A9A9	other	8	2	207	372	12-aso1
subtype_fctastrocyte:txcaso1	-0.15611633151854531	0.11334550997685577	-1.3773490590886484	0.1684043542970681	astrocyte	aso1	-0.15611633151854531	0.8554596676601235	0.6850458909457638	1.068266013511652	#0909FF	glia	3	7	1732	3787	12-aso1
subtype_fctendothelial stalk:txcaso1	0.018864541626333803	0.14341651676026043	0.1315367438317329	0.8953507216974159	endothelial stalk	aso1	0.018864541626333803	1.0190436012788608	0.769336621478947	1.3497990766526995	#0909FF	other	7	3	379	705	12-aso1
subtype_fctexcitatory:txcaso1	-0.25646387554516487	0.11114623451823835	-2.3074454717859187	0.02102999875660312	excitatory	aso1	-0.25646387554516487	0.7737829465416989	0.6223164881744243	0.9621150326824336	#0909FF	neuron	1	9	17834	38569	12-aso1
subtype_fctfibroblast:txcaso1	-0.05922853449488719	0.17196284510301652	-0.34442634662973615	0.7305256778373469	fibroblast	aso1	-0.05922853449488719	0.9424913527577603	0.672825333245488	1.3202385613786782	#0909FF	other	9	1	248	480	12-aso1
subtype_fctinhibitory:txcaso1	-0.14480187901389846	0.11408263371839866	-1.2692718803400622	0.2043441118946418	inhibitory	aso1	-0.14480187901389846	0.8651936891584686	0.6918405753398582	1.0819835471371706	#0909FF	neuron	2	8	2488	5230	12-aso1
subtype_fctmicroglia:txcaso1	0.09134186779408325	0.1520215505580885	0.6008481525070414	0.5479411288044012	microglia	aso1	0.09134186779408325	1.0956435064685248	0.813332807260796	1.4759452496568524	#0909FF	glia	6	4	516	1189	12-aso1
subtype_fctoligodendrocyte:txcaso1	-0.15673254877964907	0.1249985210995631	-1.2538752250901382	0.20988736133376695	oligodendrocyte	aso1	-0.15673254877964907	0.8549326810325372	0.6691646414861772	1.0922721312264378	#0909FF	glia	4	6	930	2397	12-aso1
subtype_fctOPC:txcaso1	-0.04794378538892057	0.1401348281513504	-0.3421261225449226	0.7322559794097521	OPC	aso1	-0.04794378538892057	0.9531873686286709	0.7242613279288633	1.2544728327707824	#0909FF	glia	5	5	317	755	12-aso1
subtype_fctpericyte:txcaso1	0.030415178665708774	0.23266364555340116	0.13072596104717982	0.8959920946303075	pericyte	aso1	0.030415178665708774	1.0308824455157262	0.653379478782258	1.6264952466109523	#0909FF	other	8	2	165	372	12-aso1
(Intercept)	-7.413831862584747	0.10270188459810738	-72.1878852719843	0	astrocyte	_ctl	0	1	0.8176736401134852	1.2229818242168229	#A9A9A9	glia	3	7	1665	3310	2-aso6
subtype_fctendothelial stalk	-1.1585891709659055	0.15999323798599274	-7.241488362572792	4.437872509302028e-13	endothelial stalk	_ctl	0	1	0.730825191297107	1.3683162703041851	#A9A9A9	other	7	3	313	562	2-aso6
subtype_fctexcitatory	-1.3565617745826677	0.1445711669691416	-9.383349412073452	6.390956436377708e-21	excitatory	_ctl	0	1	0.7532528778041142	1.3275754125430015	#A9A9A9	neuron	1	9	21986	36491	2-aso6
subtype_fctfibroblast	-1.554497474005593	0.2050633144411713	-7.580573240229902	3.440314875794123e-14	fibroblast	_ctl	0	1	0.6690364668450559	1.4946868363030394	#A9A9A9	other	9	1	126	425	2-aso6
subtype_fctinhibitory	-1.7855832005774612	0.14572051432343638	-12.25347857758888	1.6094147875273015e-34	inhibitory	_ctl	0	1	0.751557950328993	1.3305693853178615	#A9A9A9	neuron	2	8	2784	4849	2-aso6
subtype_fctmicroglia	-1.5226560486471015	0.16596376362731557	-9.17462954182181	4.5312980902550336e-20	microglia	_ctl	0	1	0.7223229077300455	1.3844223813177625	#A9A9A9	glia	6	4	326	974	2-aso6
subtype_fctoligodendrocyte	-0.6513275808684654	0.14970947452480743	-4.350610293275313	1.3575914725604797e-5	oligodendrocyte	_ctl	0	1	0.7457050157586369	1.3410128386794586	#A9A9A9	glia	4	6	788	1777	2-aso6
subtype_fctOPC	-1.2888549851935907	0.16161900361048187	-7.974649987942392	1.52813264308322e-15	OPC	_ctl	0	1	0.7285001654081906	1.3726832847590138	#A9A9A9	glia	5	5	244	559	2-aso6
subtype_fctpericyte	-1.8221925102254397	0.230214654563758	-7.915189038153881	2.4687769420742648e-15	pericyte	_ctl	0	1	0.6368555395288518	1.570214810001973	#A9A9A9	other	8	2	136	275	2-aso6
subtype_fctastrocyte:txcaso6	-0.807345888422911	0.1470874041435064	-5.488885286432962	4.044781887592243e-8	astrocyte	aso6	-0.807345888422911	0.44604033741246707	0.33432827710301194	0.5950797351721678	#41B6C4	glia	3	7	1645	3310	2-aso6
subtype_fctendothelial stalk:txcaso6	-0.809761263974621	0.19707576279024247	-4.108883063598694	3.97577312240284e-5	endothelial stalk	aso6	-0.809761263974621	0.44496428254785614	0.3023945488075626	0.6547512629578749	#41B6C4	other	7	3	249	562	2-aso6
subtype_fctexcitatory:txcaso6	-1.039734471969108	0.14439207259382042	-7.2007725444451145	5.987235262729528e-13	excitatory	aso6	-1.039734471969108	0.3535485465457782	0.2664049567936884	0.4691976315644653	#41B6C4	neuron	1	9	14505	36491	2-aso6
subtype_fctfibroblast:txcaso6	-0.5411007586588715	0.2355505238599593	-2.297174932120166	0.02160879254653303	fibroblast	aso6	-0.5411007586588715	0.58210714010892	0.3668613475276796	0.9236424737828771	#41B6C4	other	9	1	299	425	2-aso6
subtype_fctinhibitory:txcaso6	-0.9076402971412728	0.15082959739017754	-6.017653781792704	1.7696317304268048e-9	inhibitory	aso6	-0.9076402971412728	0.40347518314500125	0.3002136545935444	0.5422545607870325	#41B6C4	neuron	2	8	2065	4849	2-aso6
subtype_fctmicroglia:txcaso6	-1.4094590603830857	0.20997994700688877	-6.712350776699862	1.9151362023281914e-11	microglia	aso6	-1.4094590603830857	0.24427538565401508	0.16186183241486624	0.36865061482485323	#41B6C4	glia	6	4	648	974	2-aso6
subtype_fctoligodendrocyte:txcaso6	-1.4222790523733058	0.17072015526081644	-8.331055288699975	8.012489822817438e-17	oligodendrocyte	aso6	-1.4222790523733058	0.2411637652574894	0.17258172128394755	0.33699954572523494	#41B6C4	glia	4	6	989	1777	2-aso6
subtype_fctOPC:txcaso6	-0.9317735043293978	0.1926899931550125	-4.835609203534601	1.3273847709652877e-6	OPC	aso6	-0.9317735043293978	0.3938545877897868	0.26997148110637076	0.5745845290301012	#41B6C4	glia	5	5	315	559	2-aso6
subtype_fctpericyte:txcaso6	-0.9478433767160221	0.3656876695774694	-2.591947871283709	0.009543423100040175	pericyte	aso6	-0.9478433767160221	0.3875759781683249	0.18927050596728365	0.7936531795350052	#41B6C4	other	8	2	139	275	2-aso6
(Intercept)	-7.613639117253258	0.042312270061568506	-179.93927308023572	0	astrocyte	_ctl	0	1	0.9204150904462951	1.0864663241398134	#A9A9A9	glia	3	7	5225	8181	3-aso6
subtype_fctendothelial stalk	-0.8430510194961536	0.07912247848484694	-10.655012780693033	1.6522196912327598e-26	endothelial stalk	_ctl	0	1	0.8563490577636778	1.1677481173523576	#A9A9A9	other	7	3	571	956	3-aso6
subtype_fctexcitatory	-1.2359650459462372	0.05898092826164769	-20.95533390833258	1.6774846140299724e-97	excitatory	_ctl	0	1	0.8908310435235565	1.1225473194609845	#A9A9A9	neuron	1	9	39629	62026	3-aso6
subtype_fctfibroblast	-1.4533848122180557	0.13593948151613372	-10.691410589539165	1.116596622200373e-26	fibroblast	_ctl	0	1	0.7661046591361182	1.3053046839939977	#A9A9A9	other	9	1	246	494	3-aso6
subtype_fctinhibitory	-1.5695910254974839	0.06071987550723894	-25.8497075691527	2.4515888894095366e-147	inhibitory	_ctl	0	1	0.8878000154852369	1.1263797956271029	#A9A9A9	neuron	2	8	5300	8511	3-aso6
subtype_fctmicroglia	-1.551694194021662	0.09823145743206879	-15.796306342036349	3.2988780691413297e-56	microglia	_ctl	0	1	0.824869473820265	1.2123130164687064	#A9A9A9	glia	6	4	687	1238	3-aso6
subtype_fctoligodendrocyte	-0.7257077359384103	0.06346799106101995	-11.434232024780712	2.8202093548128476e-30	oligodendrocyte	_ctl	0	1	0.8830309953693465	1.1324630791490267	#A9A9A9	glia	4	6	3686	5469	3-aso6
subtype_fctOPC	-1.3273639655122433	0.07741840798386589	-17.145327578795833	6.811394421042e-66	OPC	_ctl	0	1	0.8592139740038733	1.1638544416824068	#A9A9A9	glia	5	5	956	1535	3-aso6
subtype_fctpericyte	-1.5614223609575582	0.1472085389234414	-10.606873571169709	2.768584760769336e-26	pericyte	_ctl	0	1	0.7493692438431618	1.334455621465689	#A9A9A9	other	8	2	294	537	3-aso6
subtype_fctastrocyte:txcaso6	-0.4687786854665052	0.07105543822462726	-6.597365341475442	4.1852852822115774e-11	astrocyte	aso6	-0.4687786854665052	0.6257660589558067	0.5444142759406558	0.7192742325951916	#41B6C4	glia	3	7	2956	8181	3-aso6
subtype_fctendothelial stalk:txcaso6	-0.33619556200215234	0.1143497257843184	-2.940064435626808	0.0032814399864879366	endothelial stalk	aso6	-0.33619556200215234	0.7144833663550093	0.5710280728456809	0.8939779059442922	#41B6C4	other	7	3	385	956	3-aso6
subtype_fctexcitatory:txcaso6	-0.5285720125812708	0.06831413418969579	-7.737374100556169	1.014910995123566e-14	excitatory	aso6	-0.5285720125812708	0.5894460905817603	0.5155787333250448	0.6738964802938725	#41B6C4	neuron	1	9	22397	62026	3-aso6
subtype_fctfibroblast:txcaso6	0.14142568062465435	0.17768720869987292	0.7959249383197469	0.4260756652172137	fibroblast	aso6	0.14142568062465435	1.1519148914843174	0.8131539321322352	1.6318040961124503	#41B6C4	other	9	1	248	494	3-aso6
subtype_fctinhibitory:txcaso6	-0.4623461027035375	0.07352365346188333	-6.288399459681779	3.207556937691203e-10	inhibitory	aso6	-0.4623461027035375	0.6298043252366851	0.5452832931088741	0.7274264462154323	#41B6C4	neuron	2	8	3211	8511	3-aso6
subtype_fctmicroglia:txcaso6	-0.5981550898974868	0.15621952614060816	-3.8289393437226704	1.2869671854934454e-4	microglia	aso6	-0.5981550898974868	0.5498250787937166	0.40480907822508094	0.7467906070585412	#41B6C4	glia	6	4	551	1238	3-aso6
subtype_fctoligodendrocyte:txcaso6	-0.6205641955597634	0.08629727902115553	-7.191005354961816	6.43159593831095e-13	oligodendrocyte	aso6	-0.6205641955597634	0.5376410173338148	0.4539792647207633	0.6367204099013972	#41B6C4	glia	4	6	1783	5469	3-aso6
subtype_fctOPC:txcaso6	-0.1852781388925254	0.10989733868582852	-1.6859201606527838	0.09181117822811352	OPC	aso6	-0.1852781388925254	0.8308731535716921	0.6698690960516047	1.0305747815435662	#41B6C4	glia	5	5	579	1535	3-aso6
subtype_fctpericyte:txcaso6	-0.25475698269078945	0.23255224238327332	-1.0954828045515903	0.273305174822666	pericyte	aso6	-0.25475698269078945	0.7751048389674137	0.49137337500299727	1.222670054898753	#41B6C4	other	8	2	243	537	3-aso6
(Intercept)	-7.369936268444775	0.05532693029294438	-133.20703370713906	0	astrocyte	_ctl	0	1	0.8972338121455476	1.1145366864950268	#A9A9A9	glia	3	7	2055	3666	12-aso6
subtype_fctendothelial stalk	-1.1425420846624263	0.100714938293321	-11.34431598751419	7.914266859795015e-30	endothelial stalk	_ctl	0	1	0.820864150329526	1.2182283750588476	#A9A9A9	other	7	3	326	679	12-aso6
subtype_fctexcitatory	-1.3084760792701966	0.07716341967230256	-16.95720698780627	1.702468550897326e-64	excitatory	_ctl	0	1	0.8596434888933878	1.1632729299064335	#A9A9A9	neuron	1	9	20735	37424	12-aso6
subtype_fctfibroblast	-1.4216720450442808	0.11589334069435674	-12.267072780252569	1.3608471889607883e-34	fibroblast	_ctl	0	1	0.7968038237749094	1.2550140576163848	#A9A9A9	other	9	1	232	461	12-aso6
subtype_fctinhibitory	-1.6542933071458932	0.07896657573424468	-20.949285083771105	1.9046907444612015e-97	inhibitory	_ctl	0	1	0.8566107669979689	1.1673913503381999	#A9A9A9	neuron	2	8	2742	4970	12-aso6
subtype_fctmicroglia	-1.774572757226038	0.10631441120248468	-16.69174232500066	1.5051338381535986e-62	microglia	_ctl	0	1	0.8119046133257539	1.2316717796487973	#A9A9A9	glia	6	4	673	1118	12-aso6
subtype_fctoligodendrocyte	-0.5610528953808653	0.08388058454848377	-6.688709889194579	2.251465601338662e-11	oligodendrocyte	_ctl	0	1	0.8484001116277406	1.1786891424158346	#A9A9A9	glia	4	6	1467	2677	12-aso6
subtype_fctOPC	-1.1521195783074991	0.09423989194712902	-12.225391546011826	2.2748296321270215e-34	OPC	_ctl	0	1	0.8313480042406648	1.2028657011252204	#A9A9A9	glia	5	5	438	729	12-aso6
subtype_fctpericyte	-1.6202229081732145	0.15607363328412513	-10.381144297600034	3.0213181952149864e-25	pericyte	_ctl	0	1	0.7364612190715113	1.3578447501427753	#A9A9A9	other	8	2	207	349	12-aso6
subtype_fctastrocyte:txcaso6	-0.5037948292906883	0.08108033176766385	-6.213526983761182	5.180833057741226e-10	astrocyte	aso6	-0.5037948292906883	0.604233341122315	0.515452893759822	0.7083051331048599	#41B6C4	glia	3	7	1611	3666	12-aso6
subtype_fctendothelial stalk:txcaso6	-0.3257818168798548	0.12337142558310749	-2.6406586074536063	0.008274505173038758	endothelial stalk	aso6	-0.3257818168798548	0.7219626903212578	0.5668926246266922	0.9194512392168565	#41B6C4	other	7	3	353	679	12-aso6
subtype_fctexcitatory:txcaso6	-0.4369001816064346	0.07636391979784195	-5.721290666626852	1.0571785539503942e-8	excitatory	aso6	-0.4369001816064346	0.6460359144594406	0.5562314946341554	0.750339394294732	#41B6C4	neuron	1	9	16689	37424	12-aso6
subtype_fctfibroblast:txcaso6	-0.3686783924074199	0.15690944433668186	-2.3496252501942694	0.018792320440423258	fibroblast	aso6	-0.3686783924074199	0.6916478138734099	0.5085380429955053	0.9406900919703568	#41B6C4	other	9	1	229	461	12-aso6
subtype_fctinhibitory:txcaso6	-0.5614237133562664	0.08257350480712228	-6.7990781627551975	1.0529068445017642e-11	inhibitory	aso6	-0.5614237133562664	0.5703964045096395	0.48516569420398853	0.6705998840485404	#41B6C4	neuron	2	8	2228	4970	12-aso6
subtype_fctmicroglia:txcaso6	-0.2865408165777498	0.14372305760350176	-1.9937010898296417	0.046184730220166136	microglia	aso6	-0.2865408165777498	0.7508564305157458	0.5665257000171684	0.9951629365265542	#41B6C4	glia	6	4	445	1118	12-aso6
subtype_fctoligodendrocyte:txcaso6	-1.0123237814348625	0.1043520896787589	-9.70103985987473	2.9844130277930043e-22	oligodendrocyte	aso6	-1.0123237814348625	0.3633735968912787	0.29616157298108253	0.4458389708989682	#41B6C4	glia	4	6	1210	2677	12-aso6
subtype_fctOPC:txcaso6	-0.34496777316112887	0.12090385874098951	-2.8532403907814725	0.004327587126047998	OPC	aso6	-0.34496777316112887	0.7082431775387883	0.5588160208658075	0.8976270897764658	#41B6C4	glia	5	5	291	729	12-aso6
subtype_fctpericyte:txcaso6	-0.5203482589323308	0.2591357198401388	-2.008014407482436	0.04464176068671322	pericyte	aso6	-0.5203482589323308	0.594313536927724	0.35763408045900164	0.9876256192424936	#41B6C4	other	8	2	142	349	12-aso6
