aggr	species	region	weeks	treatment	subtype	subtype_residual	overall_residual	difference	difference_l95	difference_u95
mouse_cerebellum_full	mouse	cerebellum	12	ASO 6	granule	0.9181977498323304	0.8485806524125022	0.06961709741982813	-0.0432467203447664	0.198298256107453
cyno_cerebellum_full	cyno	cerebellum	13	ASO N	granule	0.5724499227060466	0.5312920081028193	0.041157914603227264	-0.09511347670482195	0.22000336848495028
mouse_cerebellum_full	mouse	cerebellum	12	Malat1 ASO	MLI	0.07435178000797214	0.4544045637562383	-0.3800527837482661	-0.39911732397738375	-0.3544142728235333
mouse_cerebellum_full	mouse	cerebellum	3	ASO 6	MLI	0.3067706800565408	0.5641520326102768	-0.257381352553736	-0.3344607425058531	-0.15443579957606618
mouse_cerebellum_full	mouse	cerebellum	12	ASO 6	MLI	0.4881683558303629	0.8485806524125022	-0.36041229658213936	-0.4287519688655988	-0.2809482990897548
cyno_cerebellum_full	cyno	cerebellum	13	ASO N	MLI	0.32374017316901893	0.5312920081028193	-0.20755183493380036	-0.28562128677629894	-0.10467340594466168
mouse_cerebellum_full	mouse	cerebellum	12	Malat1 ASO	PLI	0.1539535192029576	0.4544045637562383	-0.30045104455328064	-0.3399784672116094	-0.24726924418574825
mouse_cerebellum_full	mouse	cerebellum	3	ASO 6	PLI	0.3937977230723577	0.5641520326102768	-0.17035430953791908	-0.29642808028449424	0.015088806133455757
mouse_cerebellum_full	mouse	cerebellum	12	ASO 6	PLI	0.5496457407058942	0.8485806524125022	-0.298934911706608	-0.46548080895829574	-0.05998612428071626
mouse_cerebellum_full	mouse	cerebellum	12	Malat1 ASO	Purkinje	0.16798204872105804	0.4544045637562383	-0.28642251503518024	-0.3294842446856455	-0.22851682265482565
mouse_cerebellum_full	mouse	cerebellum	3	ASO 6	Purkinje	0.34982280946890953	0.5641520326102768	-0.21432922314136726	-0.3106910098352167	-0.08133224168200298
mouse_cerebellum_full	mouse	cerebellum	12	ASO 6	Purkinje	0.5858676310654978	0.8485806524125022	-0.26271302134700447	-0.35443564383952486	-0.15396495221241213
cyno_cerebellum_full	cyno	cerebellum	13	ASO N	Purkinje	0.2006554555654834	0.5312920081028193	-0.3306365525373359	-0.39265542690420274	-0.24087362429609677
mouse_cerebellum_full	mouse	cerebellum	12	Malat1 ASO	UBC	0.5286206684389246	0.4544045637562383	0.07421610468268636	-0.062131893554411455	0.25795658788107034
mouse_cerebellum_full	mouse	cerebellum	3	ASO 6	UBC	0.5046769160841279	0.5641520326102768	-0.0594751165261489	-0.2686748669758684	0.2978394146182469
mouse_cerebellum_full	mouse	cerebellum	12	ASO 6	UBC	0.8495845203462516	0.8485806524125022	0.0010038679337494028	-0.37924982679077274	0.6893406129461058
cyno_cerebellum_full	cyno	cerebellum	13	ASO N	UBC	0.6287712867413681	0.5312920081028193	0.09747927863854877	-0.15746529429528194	0.5262924726947228
