animal_short	species	treatment	weeks	region	estimated_number_of_cells	mean_reads_per_cell	median_genes_per_cell	number_of_reads	valid_barcodes	sequencing_saturation	q30_bases_in_barcode	q30_bases_in_rna_read	q30_bases_in_umi	reads_mapped_to_genome	reads_mapped_confidently_to_genome	reads_mapped_confidently_to_intergenic_regions	reads_mapped_confidently_to_intronic_regions	reads_mapped_confidently_to_exonic_regions	reads_mapped_confidently_to_transcriptome	reads_mapped_antisense_to_gene	fraction_reads_in_cells	total_genes_detected	median_umi_counts_per_cell
b63	mouse	ASO 6	3	cerebellum	4580	119115	2459	545548358	95.1%	87.4%	96.6%	93.9%	96.5%	93.5%	91.0%	5.1%	52.9%	33.0%	55.8%	29.8%	87.2%	24559	5421
b65	mouse	ASO 6	3	cerebellum	4547	98674	2225	448670036	95.5%	88.9%	96.7%	94.1%	96.5%	94.2%	92.0%	5.8%	56.0%	30.3%	69.9%	16.0%	84.8%	23863	4775
b41	mouse	ASO 6	3	cortex	7584	52571	3036	398702013	95.5%	44.6%	96.7%	94.3%	96.5%	93.6%	91.4%	5.7%	63.0%	22.7%	35.2%	50.3%	88.4%	26495	7630
b42	mouse	ASO 6	3	cortex	6965	56825	3529	395787819	95.7%	50.2%	96.7%	93.4%	96.5%	94.5%	92.6%	5.5%	62.4%	24.6%	41.5%	45.3%	89.1%	26418	9355
b63	mouse	ASO 6	3	cortex	8894	40888	3576	363658622	96.3%	43.8%	96.6%	94.3%	96.5%	94.5%	92.4%	5.9%	56.6%	29.9%	47.3%	38.9%	84.9%	26487	8360
b65	mouse	ASO 6	3	cortex	9923	24876	2388	246841030	95.1%	33.6%	96.6%	94.0%	96.4%	93.6%	91.4%	6.4%	59.3%	25.7%	39.2%	45.6%	83.2%	26072	4626
b42	mouse	ASO 6	3	thalamus	7183	68483	2860	491912483	96.3%	70.3%	96.0%	94.8%	95.8%	90.1%	87.1%	5.6%	46.8%	34.7%	49.5%	31.8%	80.9%	25845	6297
b63	mouse	ASO 6	3	thalamus	6390	62171	3072	397275157	94.5%	55.5%	96.0%	94.0%	95.7%	91.4%	89.0%	6.0%	55.3%	27.6%	40.0%	42.7%	84.0%	26472	6541
b65	mouse	ASO 6	3	thalamus	5900	100321	2776	591892722	95.3%	65.6%	96.1%	94.1%	95.8%	91.2%	88.8%	6.3%	59.3%	23.2%	33.0%	49.3%	75.6%	26523	5349
c1_12wk	mouse	ASO 6	12	cerebellum	8010	62024	1891	496814650	97.4%	86.4%	94.5%	92.8%	94.0%	93.6%	91.4%	4.0%	46.7%	40.6%	60.1%	26.9%	91.7%	24389	3502
c2_12wk	mouse	ASO 6	12	cerebellum	8307	63696	1833	529118540	97.3%	86.6%	94.8%	92.5%	94.3%	93.4%	91.2%	4.3%	47.9%	39.0%	56.8%	29.9%	90.9%	24624	3312
c3_12wk	mouse	ASO 6	12	cerebellum	12556	39938	1508	501461983	97.4%	83.2%	94.6%	91.5%	94.2%	92.8%	90.5%	4.2%	46.5%	39.9%	57.4%	28.7%	89.8%	24938	2496
c4_12wk	mouse	ASO 6	12	cerebellum	8351	59353	2001	495660738	97.2%	83.1%	95.4%	93.4%	95.0%	93.1%	90.8%	4.0%	43.0%	43.7%	59.5%	27.0%	87.5%	24606	3692
c1_12wk	mouse	ASO 6	12	cortex	8690	64081	3350	556862934	97.2%	71.6%	95.8%	92.9%	95.2%	92.6%	90.3%	4.7%	42.4%	43.1%	59.9%	25.3%	77.6%	25816	7735
c2_12wk	mouse	ASO 6	12	cortex	7263	84078	4364	610657367	96.1%	56.4%	96.8%	93.9%	96.6%	94.1%	92.0%	5.9%	61.3%	24.8%	43.2%	42.6%	90.0%	26856	13246
c3_12wk	mouse	ASO 6	12	cortex	7791	65644	3695	511434966	96.7%	61.0%	93.4%	90.1%	92.7%	94.0%	92.0%	5.4%	55.2%	31.4%	49.6%	36.7%	84.6%	26381	9399
c4_12wk	mouse	ASO 6	12	cortex	631	512699	5793	323513252	96.3%	87.7%	93.1%	90.1%	92.4%	93.2%	91.1%	5.7%	60.0%	25.4%	44.3%	40.9%	89.3%	24008	23869
b2_12wk	mouse	Malat1 ASO	12	cerebellum	7257	54798	1956	397669594	97.4%	84.1%	94.5%	93.1%	94.1%	93.6%	91.3%	4.5%	50.5%	36.3%	56.8%	29.7%	90.0%	24330	3413
b3_12wk	mouse	Malat1 ASO	12	cerebellum	7059	79848	1984	563649486	97.2%	88.6%	94.6%	92.5%	94.2%	93.1%	90.6%	4.6%	51.3%	34.7%	55.2%	30.4%	91.3%	24647	3525
b4_12wk	mouse	Malat1 ASO	12	cerebellum	8383	68497	2046	574208861	97.1%	85.2%	95.4%	93.4%	95.0%	93.0%	90.5%	4.7%	50.5%	35.3%	52.5%	33.0%	88.0%	24868	3624
b1_12wk	mouse	Malat1 ASO	12	cerebellum	7067	61109	2029	431857232	97.4%	84.9%	95.3%	93.2%	94.9%	93.1%	90.5%	4.8%	43.1%	42.5%	59.5%	25.8%	86.0%	25061	3477
f1	cyno	aCSF	13	cerebellum	7475	75124	2839	561554954	97.1%	74.4%	94.8%	92.7%	94.5%	92.5%	88.0%	17.0%	55.2%	15.8%	42.1%	27.9%	86.8%	25770	6112
f1	cyno	aCSF	13	cortex	5932	128467	3552	762066355	97.4%	67.2%	95.9%	94.2%	95.5%	89.4%	83.0%	18.3%	49.9%	14.9%	39.8%	24.1%	72.8%	26522	7492
f2	cyno	aCSF	13	cerebellum	5171	132526	2981	685293811	97.7%	85.8%	95.5%	94.4%	95.1%	93.8%	89.7%	19.6%	50.0%	20.1%	46.1%	23.1%	85.1%	25410	6226
f2	cyno	aCSF	13	cortex	4125	115326	2656	475721047	97.7%	81.2%	95.7%	94.0%	95.3%	93.7%	89.6%	20.1%	47.1%	22.3%	46.7%	21.7%	85.3%	25524	5497
f3	cyno	ASO N	13	cerebellum	8947	68682	2978	614498310	97.2%	68.0%	94.9%	92.7%	94.5%	92.7%	88.2%	15.9%	59.0%	13.2%	51.9%	19.3%	84.6%	26121	7815
f3	cyno	ASO N	13	cortex	9705	47849	3896	464377313	97.7%	39.8%	95.9%	93.9%	95.5%	92.5%	87.9%	19.8%	53.5%	14.6%	46.4%	20.7%	83.9%	26624	9522
f4	cyno	ASO N	13	cerebellum	8138	74978	2836	610171249	97.2%	75.0%	94.8%	92.6%	94.4%	93.1%	88.7%	17.6%	57.8%	13.3%	51.5%	18.5%	86.3%	25961	6728
f4	cyno	ASO N	13	cortex	10932	64786	3929	708242598	97.8%	51.2%	96.0%	94.4%	95.6%	92.3%	87.3%	19.3%	54.8%	13.2%	48.5%	18.5%	81.4%	26785	10398
m1	cyno	aCSF	13	cerebellum	8116	52877	3399	429150310	97.2%	53.6%	94.7%	91.9%	94.3%	91.9%	87.3%	15.9%	52.7%	18.6%	48.6%	21.7%	83.4%	26068	8260
m1	cyno	aCSF	13	cortex	8039	62045	2616	498779528	97.5%	52.3%	95.9%	94.3%	95.5%	91.4%	86.3%	18.8%	51.1%	16.4%	37.8%	28.9%	80.9%	26467	5135
m2	cyno	aCSF	13	cerebellum	7269	83987	3419	610499309	97.2%	68.2%	94.7%	92.3%	94.4%	92.3%	87.7%	15.8%	56.8%	15.1%	50.3%	20.5%	84.7%	26191	9214
m2	cyno	aCSF	13	cortex	8770	60690	3004	532254664	97.5%	51.2%	95.9%	94.3%	95.5%	91.8%	87.0%	18.9%	50.4%	17.7%	39.6%	27.6%	76.0%	26511	5900
m3	cyno	ASO N	13	cerebellum	6988	76563	3338	535022584	97.1%	67.7%	94.7%	93.1%	94.2%	92.1%	87.4%	16.2%	55.5%	15.7%	48.8%	21.4%	85.1%	25951	8738
m3	cyno	ASO N	13	cortex	10030	77521	3993	777531069	97.7%	51.9%	95.9%	94.1%	95.4%	92.2%	87.1%	19.7%	54.3%	13.1%	47.2%	19.2%	80.3%	26877	10280
m4	cyno	ASO N	13	cerebellum	9139	68341	2977	624566727	97.3%	67.3%	94.9%	92.6%	94.5%	92.7%	88.4%	17.2%	57.5%	13.6%	52.7%	17.3%	85.8%	26249	7804
m4	cyno	ASO N	13	cortex	9118	76503	4136	697556001	97.7%	52.0%	95.9%	94.4%	95.5%	92.0%	87.3%	19.4%	54.1%	13.8%	47.9%	19.0%	82.5%	26788	11170
a1_02wk	mouse	PBS	2	cortex	6256	76086	3573	475993190	96.8%	68.7%	95.9%	92.3%	95.4%	91.3%	88.7%	5.2%	42.9%	40.6%	55.4%	27.8%	75.3%	25795	8698
a2_02wk	mouse	PBS	2	cortex	5779	97257	4592	562046079	96.2%	61.2%	97.1%	94.5%	96.9%	94.4%	92.4%	6.0%	59.0%	27.4%	47.1%	39.0%	89.1%	26589	14581
a3_02wk	mouse	PBS	2	cortex	7728	53058	3494	410034951	96.5%	53.8%	93.1%	89.9%	92.4%	93.9%	92.0%	5.6%	56.9%	29.5%	47.9%	38.2%	87.9%	26230	8840
a4_02wk	mouse	PBS	2	cortex	24417	30595	1021	747042376	97.1%	74.9%	95.8%	92.8%	95.2%	93.0%	90.4%	5.1%	41.9%	43.4%	58.6%	26.5%	77.5%	26174	1468
b02	mouse	PBS	3	cerebellum	6247	78524	2470	490537419	95.5%	80.1%	96.6%	94.4%	96.5%	93.7%	91.4%	4.5%	47.7%	39.2%	54.1%	32.6%	88.1%	24895	5203
b21	mouse	PBS	3	cerebellum	6438	87589	2319	563900807	96.7%	84.0%	96.8%	94.1%	96.6%	94.4%	92.3%	4.4%	50.7%	37.3%	53.5%	34.1%	87.9%	24772	4875
b61	mouse	PBS	3	cerebellum	3490	171578	2614	598806213	97.0%	89.6%	96.7%	94.4%	96.5%	93.4%	90.9%	5.2%	50.2%	35.5%	48.9%	36.5%	84.6%	24516	5658
b62	mouse	PBS	3	cerebellum	9347	64080	2245	598958644	96.2%	80.9%	96.7%	94.1%	96.5%	94.1%	91.8%	5.0%	50.5%	36.4%	58.8%	27.7%	84.8%	25334	4748
b01	mouse	PBS	3	cortex	4156	107034	4082	444831355	94.3%	62.8%	96.6%	93.9%	96.4%	94.3%	92.1%	5.5%	62.9%	23.7%	43.1%	43.3%	88.9%	26140	12312
b02	mouse	PBS	3	cortex	9093	37669	2941	342519702	94.0%	42.0%	96.6%	93.8%	96.3%	93.2%	91.0%	5.8%	60.9%	24.3%	37.5%	47.5%	88.3%	26255	6366
b12	mouse	PBS	3	cortex	8590	44305	3380	380576040	95.3%	46.5%	96.7%	94.0%	96.4%	94.4%	92.2%	6.0%	59.1%	27.2%	43.4%	42.6%	85.1%	26575	7880
b13	mouse	PBS	3	cortex	9181	47001	3161	431512552	95.8%	46.4%	96.7%	94.7%	96.5%	94.2%	92.1%	6.0%	60.7%	25.3%	39.7%	46.1%	86.4%	26657	7277
b21	mouse	PBS	3	cortex	7768	43068	3295	334551234	94.1%	50.1%	96.7%	94.6%	96.5%	94.4%	92.3%	5.7%	60.3%	26.2%	43.0%	43.3%	87.4%	26051	7216
b61	mouse	PBS	3	cortex	11030	34351	2834	378886773	95.6%	39.4%	96.6%	93.4%	96.4%	93.3%	91.0%	6.2%	59.9%	25.0%	38.4%	46.2%	85.7%	26546	5873
b62	mouse	PBS	3	cortex	8937	44411	2855	396897404	92.5%	46.0%	96.7%	94.2%	96.4%	93.7%	91.5%	6.0%	59.0%	26.4%	37.0%	48.3%	81.0%	26405	6075
b02	mouse	PBS	3	thalamus	13601	53625	2846	729358342	95.0%	65.6%	95.9%	94.0%	95.6%	92.4%	89.8%	5.4%	44.6%	39.8%	50.3%	33.8%	77.3%	26713	5517
b21	mouse	PBS	3	thalamus	7268	92484	3255	672174443	96.3%	75.2%	95.9%	94.2%	95.6%	89.6%	86.7%	5.7%	44.8%	36.2%	52.2%	28.5%	78.8%	25744	7344
b61	mouse	PBS	3	thalamus	8256	75910	2918	626710340	95.0%	71.9%	96.0%	94.4%	95.7%	90.7%	87.8%	5.6%	41.9%	40.3%	49.0%	32.9%	69.0%	25971	5790
b62	mouse	PBS	3	thalamus	7741	100144	3362	775212835	94.5%	67.7%	96.1%	94.5%	95.9%	91.8%	89.3%	5.8%	53.9%	29.6%	37.5%	45.8%	78.6%	26583	7782
a1_12wk	mouse	PBS	12	cerebellum	7072	47166	1600	333558214	97.4%	82.1%	94.7%	92.2%	94.2%	92.8%	90.5%	4.3%	47.3%	38.9%	55.7%	30.3%	86.8%	23947	2802
a2_12wk	mouse	PBS	12	cerebellum	7399	79069	1868	585028436	97.4%	86.8%	95.6%	94.1%	95.2%	93.4%	91.1%	4.3%	44.7%	42.1%	59.1%	27.5%	88.1%	24708	3483
a3_12wk	mouse	PBS	12	cerebellum	6991	57762	1863	403813990	97.4%	84.1%	94.5%	93.0%	94.0%	93.3%	91.1%	4.3%	48.4%	38.4%	59.2%	27.3%	88.1%	24316	3442
a4_12wk	mouse	PBS	12	cerebellum	6108	89610	1962	547338894	97.1%	89.5%	95.4%	94.1%	94.9%	93.8%	91.5%	4.2%	45.8%	41.5%	57.9%	29.1%	89.2%	24025	3662
a1_12wk	mouse	PBS	12	cortex	7662	92598	3794	709487621	97.2%	73.0%	95.9%	93.6%	95.3%	92.5%	89.9%	5.4%	44.8%	39.6%	53.4%	30.9%	80.0%	26241	9354
a2_12wk	mouse	PBS	12	cortex	9593	55671	3385	534055705	97.1%	63.0%	95.6%	93.8%	95.2%	93.6%	91.3%	5.3%	45.5%	40.5%	57.0%	28.7%	81.4%	26349	8237
a3_12wk	mouse	PBS	12	cortex	7833	70551	3695	552626336	96.7%	67.1%	93.4%	90.4%	92.6%	94.5%	92.5%	5.5%	49.5%	37.5%	55.0%	31.7%	82.5%	26115	9465
a4_12wk	mouse	PBS	12	cortex	6060	67701	3317	410268763	96.8%	68.7%	94.6%	91.4%	94.2%	94.3%	92.3%	5.4%	52.6%	34.2%	50.9%	35.7%	81.1%	25927	7590
